subject_id,subject_name,professor,user_major,wishlist_actions,timetable_actions,unique_users
10631,데이터프로그래밍,이장호,컴퓨터공학부,9,48,49
10933,공학수학 1,김영진,기계공학과,7,29,29
10584,리눅스기초및프로그래밍,김영필,정보통신공학과,8,24,28
10633,자료구조,안재균,컴퓨터공학부,8,24,28
10651,운영체제,한재현,컴퓨터공학부,11,23,28
10281,기초기능해부학,전경규,스포츠과학부,5,25,27
10635,Java언어,허혜선,컴퓨터공학부,4,26,27
10857,캡스턴디자인1,홍연찬,전자공학과,10,20,27
9045,(HUSS국립부경대)과거사청산과포용의문화,미배정,컴퓨터공학부,23,8,26
10286,스포츠사회학,임새미,스포츠과학부,2,25,26
10638,디지털공학,김우일,컴퓨터공학부,6,24,26
10641,시뮬레이션 기초 및 실습,김지범,컴퓨터공학부,8,23,26
10779,데이터베이스,이세린,산업경영공학과,8,21,26
9795,유기화학(1),박경민,생명공학전공,4,25,25
10634,자료구조,안재균,컴퓨터공학부,5,23,25
10774,확률및통계(1),류도현,산업경영공학과,7,22,25
10877,회로이론(1),정영식,전기공학과,8,22,25
10892,에너지발생 및 운용,김용하,전기공학과,5,23,25
10939,공업열역학1,김상문,기계공학과,8,21,25
11025,물류개론,안영효,무역학부,11,20,25
10552,마이크로컨트롤러구조,황광일,임베디드시스템공학과,4,24,24
11027,국제통상론,고보민,무역학부,6,22,24
9688,국제투자법,장석영,법학부,10,19,23
10551,데이터구조,강석훈,임베디드시스템공학과,3,23,23
10554,통신기초,김현범,임베디드시스템공학과,3,23,23
10583,회로이론,전현채,정보통신공학과,6,20,23
10778,확정적경영과학,이종헌,산업경영공학과,3,22,23
10859,고체전자소자,김태훈,전자공학과,6,21,23
10875,전자기학(1),이우찬,전기공학과,6,22,23
11017,국제무역론,이윤,무역학부,7,19,23
11033,국제무역보험론,김규진,무역학부,4,23,23
10579,데이터베이스,우요섭,정보통신공학과,5,19,22
10708,화학공학양론,김종우,에너지화학공학과,3,22,22
11036,서비스마케팅론,이루리,무역학부,3,20,22
11071,화폐금융론,황상연,경제학과,0,22,22
9685,형사소송법,정배근,법학부,8,17,21
9794,물리화학,양기석,생명공학전공,5,20,21
10287,운동생리학,이세원,스포츠과학부,4,18,21
10499,MIS개론,김태훈,경영학부,8,19,21
10654,데이터통신,최승식,컴퓨터공학부,5,20,21
10706,유기화학 1,김진호,에너지화학공학과,3,21,21
10707,유체역학,박민범,에너지화학공학과,4,20,21
10776,인간공학,최서빈,산업경영공학과,4,20,21
10945,전기전자공학개론,김태우,기계공학과,6,19,21
11021,금융경제학,김준식,무역학부,9,16,21
11059,미시경제학,오태희,경제학과,4,21,21
9684,민사소송법(1),김호,법학부,10,16,20
10464,원가회계,최평국,세무회계학과,2,20,20
10553,데이터사이언스기초,강우철,임베디드시스템공학과,2,20,20
10621,이산수학,김지범,컴퓨터공학부,4,20,20
10642,정보보호개론,민병준,컴퓨터공학부,6,16,20
10643,정보보호개론,민병준,컴퓨터공학부,6,17,20
10704,공학수학 1,윤정식,에너지화학공학과,3,20,20
10705,물리화학 1,권오중,에너지화학공학과,2,20,20
11023,물류개론,안영효,무역학부,5,15,20
10044,도시사회학이론,최혜민,도시행정학과,2,18,19
10591,통신공학이론,이병주,정보통신공학과,3,17,19
10681,공업수학(2),윤종윤,바이오-로봇시스템공학과,3,18,19
10881,전기에너지와이노베이션,김학만,전기공학과,8,16,19
10936,고체역학1,박동삼,기계공학과,8,15,19
9745,거시경제론,김부용,동북아국제통상전공,1,18,18
10297,Sport Management,홍진배,스포츠과학부,8,15,18
10517,전략경영,박현준,경영학부,5,16,18
10640,시뮬레이션 기초 및 실습,김지범,컴퓨터공학부,3,16,18
10644,기계학습,이상엽,컴퓨터공학부,9,16,18
10878,기초반도체공학,MORE VIVEK MOHAN,전기공학과,7,16,18
10943,기계재료,이태선,기계공학과,3,18,18
11015,e-biz개론,황낙건,무역학부,7,15,18
11219,패션드로잉과도식화,박은경,패션산업학과,0,18,18
9681,형법각론,정배근,법학부,6,12,17
9746,국제무역론,한도숙,동북아국제통상전공,1,17,17
9796,미생물공학,이동택,생명공학전공,4,17,17
9798,식품공학개론,서명지,생명공학전공,2,17,17
10282,웨이트트레이닝기초,김연휘,스포츠과학부,2,16,17
10577,ICT공학수학,이종길,정보통신공학과,3,15,17
10639,디지털공학,김우일,컴퓨터공학부,4,13,17
10670,클라우드컴퓨팅,이승수,컴퓨터공학부,6,15,17
10711,반응공학,노윤호,에너지화학공학과,2,17,17
10823,복소함수및벡터,구경헌,전자공학부,7,12,17
10861,제어공학,유세선,전자공학과,7,13,17
10868,공학수학(1),안덕주,전기공학과,5,15,17
10889,전력전자공학,최현규,전기공학과,1,17,17
11018,국제무역론,이윤,무역학부,4,15,17
11030,국제거래규범,김규진,무역학부,5,14,17
11215,서양복식사,장인우,패션산업학과,0,17,17
11276,일반역학(1),김병훈,물리학과,2,17,17
11277,현대물리학(1),박승룡,물리학과,2,16,17
9682,형법각론,정배근,법학부,9,12,16
9686,국제거래법,장석영,법학부,12,8,16
10043,도시계획론,최승준,도시행정학과,3,15,16
10465,중급회계(1),김광태,세무회계학과,3,14,16
10467,회계원리연습,진덕수,세무회계학과,0,16,16
10555,운영체제,강석훈,임베디드시스템공학과,6,15,16
10556,임베디드구조,김현범,임베디드시스템공학과,5,15,16
10648,데이터베이스,이상엽,컴퓨터공학부,6,11,16
10652,데이터마이닝,이장호,컴퓨터공학부,6,15,16
10709,화학공학입문,노윤호,에너지화학공학과,2,15,16
10772,생성형AI활용,이준혁,산업경영공학과,4,14,16
10784,금융공학개론,정지혁,산업경영공학과,8,12,16
10800,회로이론,김태훈,전자공학과,11,11,16
10853,인공지능,조환호,전자공학과,8,13,16
10869,공학수학(1),안덕주,전기공학과,7,14,16
10896,무선에너지변환,안덕주,전기공학과,4,13,16
10940,공업열역학1,김상문,기계공학과,6,14,16
10958,기계진동,남동호,기계공학과,2,15,16
10961,유체역학(2),한민섭,기계공학과,4,16,16
11058,경제사,양준호,경제학과,3,15,16
11218,텍스타일염색과표현,조윤경,패션산업학과,1,15,16
9693,국제기구법,장석영,법학부,4,12,15
10288,운동생리학,이세원,스포츠과학부,2,15,15
10462,소득세법,정유석,세무회계학과,3,13,15
10521,광고론,윤태웅,경영학부,3,14,15
10594,데이터통신,이기영,정보통신공학과,2,14,15
10682,재료역학,한유성,바이오-로봇시스템공학과,1,15,15
10683,전기회로,조영욱,바이오-로봇시스템공학과,1,15,15
10754,기초전기화학,명재하,신소재공학과,2,14,15
10755,현대물리학,이한보람,신소재공학과,2,14,15
10836,전자기학,서정현,전자공학부,6,12,15
10840,반도체소자,정은교,전자공학과,8,12,15
10876,회로이론(1),정영식,전기공학과,5,10,15
10894,전기응용,우정민,전기공학과,3,14,15
11016,e-biz개론,유병국,무역학부,4,14,15
11064,시사경제1,황선길,경제학과,3,14,15
11068,금융경제학,신현열,경제학과,1,14,15
11245,분석화학(1),김규원,화학과,0,15,15
11280,선형대수학,함남우,물리학과,1,15,15
9683,민사소송법(1),김호,법학부,6,10,14
9696,상속법,진도왕,법학부,6,9,14
9982,환경에너지와미래,이도균,환경공학전공,4,12,14
10380,GUI디자인,이운형,디자인학부,3,13,14
10381,그래픽디자인,김시연,디자인학부,4,12,14
10500,경영과학,김서영,경영학부,4,12,14
10524,기업재무론,전용호,경영학부,1,14,14
10575,ICT공학수학,김경원,정보통신공학과,5,9,14
10753,전자재료공학개론,김다빈,신소재공학과,2,12,14
10775,인간공학,최서빈,산업경영공학과,6,10,14
10783,품질공학,정영배,산업경영공학과,6,11,14
10824,스마트시스템입문,김영현,전자공학부,4,12,14
10870,전기.전자기초실험,김준석,전기공학과,7,10,14
10873,전기.전자기초실험,김용하,전기공학과,7,8,14
10954,기계공작법,이태선,기계공학과,5,12,14
10966,MEMS개론,김경태,기계공학과,3,13,14
10985,소비자와시장,박지우,소비자학과,3,13,14
11022,금융경제학,김준식,무역학부,6,9,14
11024,물류개론,안영효,무역학부,5,9,14
11133,정보검색,장수현,문헌정보학과,5,12,14
11244,물리화학(1),이창민,화학과,1,14,14
11328,중국전통사상,조봉래,중어중국학과,6,13,14
11414,한국의언어,채숙희,국어국문학과,1,14,14
11882,대학영어회화1,"캘럼 맥코
트",기계공학과,2,14,14
9978,공학수학,이준석,환경공학전공,4,13,13
10299,트레이닝방법론,변경호,스포츠과학부,3,12,13
10385,레이아웃디자인,전혜연,디자인학부,6,8,13
10519,SCM,김태호,경영학부,4,12,13
10646,데이터베이스,박기석,컴퓨터공학부,6,12,13
10658,컴파일러설계,홍윤식,컴퓨터공학부,4,10,13
10752,에너지재료공학개론,이미경,신소재공학과,1,12,13
10773,확률및통계(1),류도현,산업경영공학과,7,9,13
10781,제품개발프로세스,박기정,산업경영공학과,5,10,13
10836,전자기학,서정현,전자공학과,5,11,13
10854,인공지능,조환호,전자공학과,7,9,13
10858,캡스턴디자인1,홍연찬,전자공학과,7,8,13
10888,전기물성론,김준동,전기공학과,2,13,13
10941,기계재료,전태성,기계공학과,7,8,13
10986,소비자의사결정,김종흠,소비자학과,2,12,13
10994,행동재무학,조혜진,소비자학과,7,12,13
10995,가계재무상담,곽민주,소비자학과,6,13,13
11008,경영학원론,이루리,무역학부,5,9,13
11096,헌법,남상택,행정학과,1,13,13
11148,광고입문,박진성,미디어커뮤니케이션학과,2,13,13
11151,영화의이해,이동후,미디어커뮤니케이션학과,2,12,13
11216,2D패턴디자인,미배정,패션산업학과,0,13,13
11217,비즈니스데이터분석기초,권기용,패션산업학과,2,11,13
11248,유기화학(1),김진호,화학과,0,13,13
11249,무기화학(1),김강우,화학과,1,13,13
11472,영어학입문,김정태,영어영문학과,3,12,13
9046,(HUSS대구대)오디세이프로젝트3전쟁과평화,미배정,컴퓨터공학부,11,3,12
9788,뇌공학,양성구,나노바이오공학전공,2,11,12
9976,선형대수학,남궁정일,환경공학전공,5,10,12
9977,환경과도시,이준석,환경공학전공,5,10,12
9979,환경유체역학,박성원,환경공학전공,4,10,12
9981,환경화학,김철용,환경공학전공,3,11,12
10013,철근콘크리트및설계1,이승정,건설환경공학전공,0,12,12
10022,환경실험,이주경,건설환경공학전공,1,11,12
10386,레이아웃디자인,전혜연,디자인학부,4,10,12
10486,경영학원론,박현준,경영학부,3,10,12
10516,전략경영,박현준,경영학부,7,8,12
10557,캡스턴디자인(1),황광일,임베디드시스템공학과,5,11,12
10598,선형대수론,노송,정보통신공학과,3,12,12
10599,운영체제,김영필,정보통신공학과,1,12,12
10622,컴퓨터공학개론,전혜경,컴퓨터공학부,5,8,12
10625,프로그래밍입문,채진석,컴퓨터공학부,4,10,12
10636,Java언어,허혜선,컴퓨터공학부,3,10,12
10650,운영체제,박문주,컴퓨터공학부,10,6,12
10655,사이버공격및방어,이승수,컴퓨터공학부,2,12,12
10669,인공지능융합특론,이현규,컴퓨터공학부,6,7,12
10676,공학프로그래밍,김우용,바이오-로봇시스템공학과,3,10,12
10693,확률및통계,우현명,바이오-로봇시스템공학과,3,12,12
10799,회로이론,박창주,전자공학과,8,6,12
10804,통신이론,윤석현,전자공학과,5,10,12
10812,물리(1),김말진,전자공학부,5,12,12
10852,신호및시스템,변상원,전자공학과,5,10,12
10891,신호및시스템,이명훈,전기공학과,1,11,12
10937,고체역학1,박형범,기계공학과,4,10,12
10987,고객서비스,이명현,소비자학과,2,11,12
11004,기업물류및SCM,안영효,무역학부,2,11,12
11009,경영학원론,유담,무역학부,6,7,12
11056,경제통계기초,김선진,경제학과,1,12,12
11082,젠더와정치,우병득,정치외교학과,2,12,12
11097,공공정책의이해,김국진,행정학과,2,11,12
11130,자료목록법,황정의,문헌정보학과,4,11,12
11275,역학실험,한강희,물리학과,1,12,12
11346,아카데믹일본어1,신은진,일본지역문화학과,1,12,12
11476,영어와심리,윤소연,영어영문학과,5,9,12
11878,대학영어회화1,매튜,무역학부,2,12,12
11935,대학영어회화1,"브렌트 맥
납",컴퓨터공학부,1,12,12
9692,환경법,남상택,법학부,2,9,11
9750,미시데이터분석,김지영,동북아국제통상전공,0,11,11
9787,세포생물학,이승호,나노바이오공학전공,2,10,11
9832,생화학,이미수,분자의생명전공,2,11,11
9834,인체생리학,김재근,분자의생명전공,1,11,11
9974,기초화학및실험1,임지영,환경공학전공,5,10,11
10006,정역학및연습,이헌우,건설환경공학전공,0,11,11
10011,구조역학(1),이헌우,건설환경공학전공,0,11,11
10012,수문학,미배정,건설환경공학전공,0,11,11
10021,토질역학(2),우상인,건설환경공학전공,0,11,11
10042,공공인적자원관리론,이창길,도시행정학과,1,10,11
10224,스포츠경제학,성호준,운동건강학부,3,10,11
10307,스포츠코칭,박상혁,스포츠과학부,3,10,11
10379,GUI디자인,이운형,디자인학부,4,7,11
10382,그래픽디자인,김시연,디자인학부,5,8,11
10387,모션일러스트레이션,한혜진,디자인학부,2,10,11
10535,투자론,김선호,경영학부,3,10,11
10559,딥러닝알고리즘,강우철,임베디드시스템공학과,4,9,11
10585,전자계산기구조,조원서,정보통신공학과,6,6,11
10586,전자계산기구조,조원서,정보통신공학과,5,8,11
10589,확률이론,조경훈,정보통신공학과,2,11,11
10666,네트워크보안,이승수,컴퓨터공학부,4,10,11
10710,공정설계및제어,김종우,에너지화학공학과,2,10,11
10714,열전달,이재훈,에너지화학공학과,2,11,11
10777,확정적경영과학,이종헌,산업경영공학과,5,8,11
10798,회로이론,박창주,전자공학과,8,5,11
10819,소프트웨어입문,김교선,전자공학부,6,7,11
10823,복소함수및벡터,구경헌,전자공학과,6,9,11
10839,반도체소자,정은교,전자공학과,6,6,11
10851,신호및시스템,변상원,전자공학과,5,9,11
10862,제어공학,유세선,전자공학과,6,5,11
10874,전자기학(1),이우찬,전기공학과,5,6,11
10880,응용선형대수,이동길,전기공학과,3,10,11
10883,전기실험(2),윤주형,전기공학과,1,11,11
10928,기계기초프로그래밍,김승권,기계공학과,3,9,11
10946,전기전자공학개론,김태우,기계공학과,8,6,11
10950,수치해석,한민섭,기계공학과,3,10,11
10977,로봇공학,김영진,기계공학과,1,11,11
10998,신용관리론,곽민주,소비자학과,7,9,11
11029,MICE개론,정진영,무역학부,2,11,11
11037,통계실습,유병국,무역학부,2,10,11
11065,정치경제학,이갑영,경제학과,3,8,11
11066,공정경쟁과산업분석,이기환,경제학과,0,11,11
11070,농업과푸드시스템의경제학,이명헌,경제학과,1,10,11
11099,경찰학,장승수,행정학과,1,10,11
11247,분석화학실험,권태현,화학과,1,11,11
11284,양자역학(1),이기훈,물리학과,0,11,11
11347,일본근현대사,박진한,일본지역문화학과,1,11,11
11469,영어회화(3),알라나 커밍스,영어영문학과,4,11,11
11883,대학영어회화1,"캘럼 맥코
트",에너지화학공학과,2,9,11
12006,대학영어회화1,캘럼 맥코,스포츠과학부,1,10,11
9155,MBTI로찾아가는나의책,박상원,스포츠과학부,5,7,10
9300,대중매체속바이오테크놀로지,예정용,경제학과,2,9,10
9833,유기화학,봉지홍,분자의생명전공,2,10,10
9880,화학,권태현,분자의생명전공,1,10,10
9975,대학수학(1),손홍민,환경공학전공,5,9,10
9980,환경통계및자료해석,이희관,환경공학전공,4,9,10
10015,토질실험,박정희,건설환경공학전공,1,9,10
10220,기능해부학,홍성현,운동건강학부,3,10,10
10284,웨이트트레이닝기초,정국현,스포츠과학부,0,10,10
10285,스포츠사회학,임새미,스포츠과학부,1,9,10
10367,디자인 Thinking,이서진,디자인학부,6,8,10
10376,기초제품디자인,조유석,디자인학부,2,9,10
10384,디자인구현프로그래밍,박동명,디자인학부,3,8,10
10471,원가회계연습,최평국,세무회계학과,4,7,10
10489,경영학원론,박현준,경영학부,7,5,10
10505,마케팅원론,허승,경영학부,3,8,10
10510,마케팅원론,허승,경영학부,2,9,10
10513,상법,미배정,경영학부,1,10,10
10532,인터넷마케팅,김성광,경영학부,4,9,10
10566,프로그래밍(1),김도엽,정보통신공학과,4,9,10
10580,데이터베이스,유제진,정보통신공학과,4,6,10
10685,설계공학,박상인,바이오-로봇시스템공학과,1,10,10
10686,자동제어,김우용,바이오-로봇시스템공학과,1,10,10
10734,안전관리론,송창근,안전공학과,2,10,10
10785,데이터마이닝,류도현,산업경영공학과,4,9,10
10788,최적화모형및응용,이종헌,산업경영공학과,5,5,10
10800,회로이론,김태훈,전자공학부,5,8,10
10816,선형대수학,변윤식,전자공학부,6,6,10
10830,디지털실험,이경순,전자공학부,4,8,10
10838,프로그래밍언어,최욱,전자공학부,3,8,10
10898,신재생에너지공학,김학만,전기공학과,3,8,10
10956,기계공작법,구상모,기계공학과,2,10,10
10968,기계공학실험,남동호,기계공학과,4,9,10
11028,회계원리,이창현,무역학부,4,9,10
11055,경제통계기초,김선진,경제학과,2,9,10
11063,수리경제학,이장연,경제학과,2,9,10
11075,국제정치의이해,이효원,정치외교학과,3,10,10
11128,기록과사회,신정엽,문헌정보학과,4,10,10
11129,문헌정보학개론,황정의,문헌정보학과,3,10,10
11131,자료분류법,김혜경,문헌정보학과,3,9,10
11256,화학논문연구 I,임태은,화학과,0,10,10
11281,수리물리학(1),엇후 도르츠,물리학과,1,10,10
11305,현대대수학,장일승,수학과,3,10,10
11306,매듭론,배영진,수학과,2,10,10
11400,언어와인간,안소진,국어국문학과,4,9,10
12115,대학영어회화1,브렌트 맥,영어영문학과,3,9,10
12119,대학영어회화1,Cruz Jr2Fidel,동북아국제통상전공,0,10,10
9679,헌법(2),김영진,법학부,3,9,9
9680,헌법(2),김영진,법학부,4,6,9
9806,생명공학캡스톤디자인,장성호,생명공학전공,2,9,9
9870,생물학기초(1),박준태,분자의생명전공,1,8,9
9915,물리(2),김완선,건축공학전공,2,9,9
9916,건축구조역학,박지훈,건축공학전공,2,9,9
